iter,acc,nmi,ari,L,Lc,Lr
0,0.82296,0.7586,0.71138,0,0,0
140,0.84591,0.79254,0.75406,0.01247,0.04008,0.00846
280,0.85779,0.81372,0.77874,0.01919,0.07118,0.01207
420,0.86507,0.82756,0.79441,0.0284,0.15048,0.01336
560,0.8698,0.83808,0.80557,0.03692,0.21857,0.01506
700,0.8724,0.84462,0.81248,0.03829,0.23439,0.01485
840,0.87314,0.84657,0.81437,0.03866,0.24209,0.01445
980,0.87343,0.84853,0.81588,0.03668,0.2292,0.01376
1120,0.87367,0.84913,0.81644,0.03661,0.2207,0.01454
1260,0.87434,0.85127,0.81856,0.0348,0.20969,0.01383
1400,0.87477,0.8514,0.8188,0.034,0.20068,0.01393
1540,0.87486,0.85237,0.81976,0.03154,0.17985,0.01355
1680,0.87523,0.85255,0.82009,0.03067,0.17441,0.01322
1820,0.87524,0.85277,0.82011,0.03308,0.17723,0.01535
1960,0.87567,0.85315,0.82085,0.0299,0.15927,0.01397
2100,0.87546,0.85336,0.82081,0.03003,0.15966,0.01406
2240,0.87596,0.85356,0.82099,0.02857,0.15201,0.01337
2380,0.87601,0.8537,0.82127,0.0281,0.14222,0.01388
2520,0.87559,0.85355,0.8209,0.02729,0.13848,0.01344
2660,0.87569,0.85375,0.8212,0.02921,0.13897,0.01531
2800,0.87611,0.85412,0.82175,0.02576,0.12285,0.01347
2940,0.87587,0.8536,0.82111,0.02413,0.11716,0.01242
